d1,d2,type
DB00643,DB01167,46
DB00014,DB01026,19
DB00475,DB00899,48
DB00482,DB00917,69
DB00212,DB00255,74
DB00645,DB04842,48
DB01177,DB00688,71
DB01563,DB01587,48
DB00898,DB00455,15
DB00209,DB00340,48
DB00635,DB00255,72
DB00335,DB00594,48
DB00586,DB00963,48
DB00482,DB01167,46
DB01614,DB01175,48
DB01105,DB00246,46
DB00898,DB00184,46
DB01189,DB00455,48
DB00395,DB00906,48
DB04842,DB04841,48
DB11574,DB00246,46
DB00924,DB00701,72
DB00246,DB00839,69
DB00807,DB00458,48
DB01418,DB01264,46
DB09241,DB01209,59
DB09211,DB00775,48
DB06209,DB00544,46
DB01181,DB09238,46
DB00325,DB01612,48
DB01189,DB00835,48
DB00604,DB00362,72
DB01041,DB09120,46
DB00620,DB01026,46
DB00996,DB01189,48
DB00404,DB00423,48
DB00292,DB00455,48
DB01606,DB00479,74
DB00312,DB09262,3
DB06813,DB00360,74
DB01154,DB04841,48
DB00721,DB09068,48
DB01429,DB01156,46
DB08922,DB01167,46
DB01090,DB08932,59
DB01294,DB09093,74
DB01010,DB01203,53
DB00611,DB00423,48
DB08827,DB08820,72
DB09291,DB08933,72
DB00963,DB03585,48
DB09068,DB00458,48
DB00737,DB01175,48
DB01197,DB00246,46
DB01228,DB09238,46
DB00184,DB09280,72
DB06155,DB01026,46
DB01026,DB04841,48
DB00996,DB00747,48
DB00694,DB08820,72
DB11915,DB09238,46
DB00808,DB00839,69
DB01197,DB06595,46
DB01041,DB01587,15
DB00899,DB00455,48
DB00807,DB01104,48
DB01184,DB06595,46
DB00586,DB01167,46
DB00334,DB01026,74
DB08922,DB00835,48
DB03585,DB00896,48
DB09238,DB01321,46
DB00458,DB00187,48
DB01175,DB09078,19
DB01418,DB01393,5
DB01085,DB08820,72
DB00449,DB01203,24
DB01156,DB01012,46
DB01384,DB00246,46
DB09235,DB01612,48
DB01136,DB00870,36
DB00877,DB01321,46
DB00839,DB00898,48
DB01086,DB00215,48
DB00907,DB01167,46
DB09281,DB06781,2
DB00924,DB00482,46
DB00571,DB01156,46
DB01026,DB07615,48
DB00312,DB01197,59
DB00975,DB01018,48
DB00475,DB01104,46
DB00611,DB01567,48
DB00423,DB00906,48
DB00547,DB00808,82
DB01122,DB00462,69
DB04930,DB00246,46
DB01234,DB08933,72
DB09068,DB00482,46
DB01614,DB01203,59
DB00266,DB00255,11
DB06813,DB09215,72
DB09241,DB08932,59
DB01104,DB08820,72
DB00620,DB00199,46
DB09241,DB01090,59
DB00845,DB00199,46
DB00539,DB06402,19
DB00956,DB00996,15
DB00457,DB00975,48
DB00575,DB01156,46
DB01614,DB04953,48
DB00434,DB00747,48
DB01087,DB08933,72
DB00384,DB00457,48
DB00807,DB00215,48
DB09477,DB00495,74
DB01136,DB08820,72
DB01418,DB00924,5
DB00555,DB04841,48
DB00498,DB00975,5
DB01400,DB12278,69
DB00559,DB00401,74
DB00976,DB00014,19
DB00014,DB00334,19
DB00976,DB00556,19
DB00620,DB01252,69
DB00571,DB00688,36
DB01189,DB09235,48
DB00898,DB00906,15
DB00657,DB00479,20
DB00253,DB01122,48
DB00455,DB04953,48
DB09053,DB06595,72
DB01357,DB09238,46
DB00956,DB01264,72
DB00835,DB00169,46
DB00449,DB00458,36
DB00899,DB00457,48
DB00967,DB12278,48
DB01181,DB01132,46
DB09053,DB00498,48
DB00963,DB00688,48
DB00528,DB08820,72
DB00933,DB00423,48
DB03754,DB06781,2
DB00179,DB00688,48
DB00458,DB00212,72
DB01118,DB00871,19
DB00528,DB09038,48
DB00217,DB00458,36
DB11915,DB00951,46
DB01041,DB00975,48
DB00215,DB01211,46
DB01010,DB00810,69
DB00482,DB01384,48
DB00976,DB00543,19
DB00996,DB09270,48
DB01154,DB00498,3
DB00604,DB00334,19
DB01203,DB01611,46
DB06684,DB09068,48
DB00384,DB08941,48
DB11268,DB06154,5
DB00755,DB01685,46
DB00755,DB09038,48
DB00187,DB01291,13
DB00169,DB01211,46
DB00960,DB01612,48
DB04574,DB01122,48
DB04898,DB00328,5
DB01041,DB00575,15
DB00457,DB01102,4
DB00721,DB00423,48
DB00933,DB00334,48
DB00404,DB01567,48
DB00482,DB09288,48
DB06701,DB00951,46
DB00571,DB01085,48
DB01357,DB01026,46
DB01090,DB00611,48
DB01563,DB04842,48
DB00604,DB08933,72
DB04574,DB01132,69
DB01118,DB08933,72
DB00975,DB01400,69
DB01393,DB08820,72
DB00906,DB00413,31
DB00292,DB00335,24
DB08903,DB00976,72
DB00443,DB00808,82
DB00185,DB00482,46
DB00898,DB00721,15
DB01156,DB01026,46
DB09241,DB00212,59
DB00455,DB00543,48
DB01567,DB00835,48
DB00747,DB00424,48
DB00701,DB00496,46
DB09053,DB00907,72
DB00967,DB00340,48
DB01264,DB01357,74
DB00620,DB01211,46
DB00368,DB01203,24
DB07615,DB01234,48
DB00455,DB04841,48
DB11586,DB01048,74
DB00312,DB00643,3
DB09241,DB00559,59
DB00829,DB04841,48
DB00960,DB09215,36
DB09280,DB00312,74
DB01041,DB00899,15
DB01209,DB00555,48
DB01018,DB08932,59
DB00199,DB01104,48
DB09270,DB01167,72
DB00559,DB01264,74
DB00721,DB01086,48
DB00266,DB01563,72
DB09270,DB09238,72
DB00312,DB00899,48
DB00835,DB09280,72
DB01563,DB01068,48
DB00956,DB00933,15
DB00334,DB00996,48
DB00571,DB00246,46
DB00312,DB00717,3
DB01012,DB00976,46
DB01159,DB00335,48
DB00485,DB00694,74
DB08820,DB00246,72
DB00576,DB00657,48
DB08903,DB00556,19
DB00482,DB00253,48
DB00543,DB04953,48
DB06813,DB00688,72
DB09280,DB00458,74
DB06292,DB08933,72
DB00528,DB08941,48
DB11915,DB00907,46
DB00312,DB04574,3
DB01122,DB00411,48
DB00611,DB09068,48
DB01156,DB01132,46
DB00877,DB00839,69
DB04898,DB01418,5
