d1,d2,type
DB00261,DB00608,19
DB00648,DB00481,74
DB04948,DB00866,24
DB01050,DB08880,46
DB01336,DB06810,39
DB01356,DB01239,34
DB00945,DB00429,69
DB01403,DB01558,15
DB09352,DB08922,60
DB00559,DB00905,59
DB00531,DB00291,14
DB01403,DB08938,66
DB09030,DB06154,48
DB00615,DB00912,3
DB09054,DB00582,72
DB09166,DB05271,31
DB06605,DB00573,5
DB04896,DB00610,84
DB12364,DB00936,65
DB00359,DB01208,8
DB04855,DB01181,10
DB01577,DB08799,75
DB01097,DB00467,26
DB00938,DB00310,82
DB01071,DB00502,81
DB01014,DB08439,56
DB01158,DB00422,36
DB02709,DB01088,52
DB00452,DB00314,20
DB00422,DB00805,70
DB01136,DB09083,53
DB01070,DB00524,50
DB01359,DB00277,13
DB00215,DB09042,63
DB01356,DB00524,71
DB09076,DB01090,1
DB13595,DB00394,2
DB00399,DB00955,23
DB00887,DB00728,16
DB00437,DB00691,85
DB00288,DB01226,21
DB00193,DB00865,68
DB00813,DB09290,38
DB00230,DB06216,7
DB12278,DB00761,58
DB00584,DB06695,76
DB00820,DB00968,9
DB09124,DB00390,57
DB00946,DB01022,11
DB01355,DB00524,29
DB00554,DB00214,28
DB09245,DB00289,43
DB08906,DB01185,73
DB00727,DB00203,37
DB00647,DB06767,64
DB00544,DB08868,33
DB00248,DB04861,18
DB00346,DB00751,4
DB00391,DB01623,35
DB00539,DB06708,32
DB00619,DB00448,27
DB00999,DB00215,54
DB01016,DB00230,49
DB09270,DB01393,47
DB00334,DB06701,17
DB01348,DB00421,67
DB00091,DB06710,79
DB01141,DB00396,12
DB06261,DB00460,0
DB00193,DB11699,51
DB00302,DB00890,80
DB01255,DB01242,22
DB00571,DB06709,45
DB01151,DB00388,83
DB09063,DB01260,77
DB00968,DB00614,30
DB00796,DB09338,55
DB08824,DB00813,44
DB00594,DB00864,41
DB00958,DB01082,6
DB00182,DB00454,40
DB00993,DB00881,62
DB01367,DB00802,78
DB00727,DB00247,61
DB00295,DB00758,25
DB00222,DB01032,42
DB00940,DB01026,74
DB00216,DB00951,46
DB01043,DB00810,69
DB00883,DB00203,46
DB04951,DB00429,69
DB00690,DB01017,15
DB09034,DB00257,72
DB00898,DB01545,15
DB00238,DB08439,3
DB09212,DB01380,48
DB00404,DB09166,48
DB01186,DB08827,48
DB00812,DB00622,46
DB06016,DB00752,46
DB01170,DB01576,74
DB01028,DB01072,46
DB00472,DB00321,48
DB00608,DB09291,46
DB06789,DB04855,46
DB00740,DB00281,46
DB09543,DB00233,5
DB00755,DB00519,48
DB00344,DB01348,72
DB01024,DB00232,69
DB00470,DB00257,72
DB01061,DB03615,74
DB00872,DB00343,72
DB00820,DB00320,46
DB00341,DB00366,15
DB08905,DB08909,69
DB01393,DB00224,46
DB00252,DB09054,74
DB00182,DB01408,48
DB00960,DB05812,72
DB01136,DB00440,72
DB00327,DB09342,48
DB00624,DB08880,72
DB00637,DB00907,46
DB01246,DB00844,59
DB08439,DB00741,48
DB06288,DB00241,48
DB00904,DB00985,48
DB09235,DB00964,48
DB09270,DB00694,72
DB00755,DB00673,72
DB01268,DB01099,46
DB00963,DB01208,26
DB00213,DB00203,46
DB00465,DB00310,69
DB01351,DB01176,48
DB06700,DB04842,48
DB00850,DB01202,48
DB00393,DB12332,72
DB00584,DB08797,48
DB00679,DB00916,19
DB00802,DB01232,46
DB04898,DB00465,5
DB01151,DB09119,46
DB00321,DB01118,46
DB00852,DB01238,60
DB01183,DB08881,72
DB00206,DB00542,48
DB06480,DB01242,72
DB00915,DB01239,69
DB00418,DB01151,3
DB01132,DB00188,46
DB00252,DB01060,3
DB09204,DB00436,48
DB00801,DB06738,48
DB00678,DB06697,46
DB08912,DB01171,74
DB00559,DB00287,59
DB00887,DB00964,48
DB00501,DB01072,74
DB01028,DB00188,46
DB09280,DB11817,74
DB01130,DB01043,48
DB00753,DB09242,48
DB00503,DB00334,74
DB00850,DB00470,15
DB00252,DB00656,74
DB01349,DB01435,48
DB04946,DB00254,46
DB00266,DB00222,5
DB13139,DB00903,82
DB01171,DB00450,48
DB00608,DB11121,74
DB01621,DB00281,46
DB00332,DB06636,46
DB01189,DB00413,31
DB01233,DB00334,48
DB00674,DB00857,46
DB01186,DB09204,24
DB00674,DB00169,46
DB01418,DB01401,5
DB01143,DB00594,48
DB00559,DB04835,74
DB00458,DB00335,48
DB00751,DB00091,46
DB01178,DB09345,48
DB09038,DB09244,8
DB01028,DB01319,46
DB01090,DB04861,59
DB01184,DB09280,72
DB00454,DB01624,48
DB01236,DB13323,48
DB00335,DB01275,48
DB00396,DB00268,46
DB01242,DB06717,72
DB00344,DB04841,48
DB06282,DB00215,48
DB00892,DB00660,48
DB01095,DB05521,72
DB00458,DB00876,48
DB00682,DB09198,46
DB00726,DB00813,48
DB05271,DB09238,46
DB00295,DB00575,48
DB00186,DB00237,48
DB00686,DB00749,5
DB01236,DB00887,48
DB01416,DB00501,66
DB00741,DB00834,72
DB09082,DB00232,82
DB00181,DB06282,48
DB00337,DB00687,48
DB00531,DB00570,14
DB00238,DB06282,3
DB00193,DB00802,48
DB01015,DB09118,72
DB01023,DB08931,48
DB00611,DB09244,48
DB01203,DB01224,48
DB08912,DB00656,74
DB00237,DB01224,48
DB02709,DB01380,48
DB06789,DB01252,69
DB00844,DB00747,48
DB00943,DB00673,72
DB00208,DB01149,46
DB00091,DB01136,72
DB00981,DB00986,69
DB01151,DB00705,46
DB09017,DB00950,48
DB00237,DB09224,48
DB09352,DB06148,75
DB01143,DB01189,48
DB00997,DB13783,71
DB01263,DB06209,10
DB00571,DB00337,36
DB00727,DB01162,48
DB00248,DB01618,48
DB01614,DB00967,48
DB00790,DB00734,59
DB01355,DB00254,74
DB00663,DB00951,74
DB09215,DB09091,48
DB01037,DB00178,59
DB01087,DB01075,19
DB01198,DB00296,48
DB00870,DB00687,48
DB01429,DB00333,46
DB00752,DB01340,59
DB05239,DB01232,72
DB00584,DB09330,72
DB01201,DB09054,74
DB00363,DB00344,19
DB00503,DB00758,46
DB01229,DB00877,48
DB08906,DB00467,48
DB01238,DB01136,59
DB00292,DB00726,36
DB00679,DB00502,72
DB00571,DB01075,46
DB06203,DB00622,46
DB01580,DB00215,48
DB00624,DB01132,46
DB00935,DB01288,48
DB00690,DB00254,46
DB00252,DB00647,3
DB00921,DB01069,15
DB00214,DB00675,46
DB00465,DB01130,48
DB00234,DB09118,72
DB01095,DB01380,72
DB00623,DB00842,48
DB01320,DB08932,74
DB00898,DB04896,48
DB00512,DB00319,56
DB01184,DB05812,72
DB00324,DB05521,74
DB06216,DB06770,48
DB06216,DB00625,48
DB01087,DB00705,46
DB00614,DB00960,59
DB09245,DB00178,59
DB00404,DB00875,48
DB04743,DB01254,5
DB00285,DB04896,48
DB04839,DB01118,74
DB00545,DB00185,48
DB00213,DB06717,72
DB00921,DB00450,15
DB00517,DB00813,48
DB00753,DB09236,48
DB00914,DB09238,46
DB00619,DB01319,72
DB06216,DB01621,48
DB00961,DB08872,48
DB00454,DB04868,46
DB01169,DB00393,48
DB00721,DB00892,48
DB01600,DB05676,48
DB00420,DB01236,19
DB00679,DB00938,19
DB01199,DB00318,48
DB00864,DB01229,48
DB01355,DB09120,46
DB00699,DB01254,48
DB00359,DB00205,46
DB01014,DB00282,48
DB00327,DB01161,48
DB01045,DB00860,74
DB00524,DB01240,59
DB00818,DB01129,46
DB06204,DB09352,68
DB01197,DB08808,59
DB00757,DB00344,19
DB00266,DB01088,5
DB00541,DB00227,72
DB00807,DB00588,48
DB06216,DB09225,48
DB08912,DB00794,74
DB01173,DB06636,46
DB00238,DB06155,3
DB06403,DB02703,72
DB01076,DB01167,72
DB00252,DB00373,3
DB08905,DB01263,72
DB05294,DB00976,46
DB01357,DB01241,46
DB06736,DB09238,46
DB06697,DB04920,48
DB00296,DB08893,46
DB09389,DB00932,72
DB08893,DB00318,69
DB00877,DB00996,48
DB01074,DB00208,46
DB01069,DB00715,46
DB00798,DB06736,71
DB05294,DB00753,19
DB11268,DB03585,5
DB01320,DB00349,72
DB00615,DB00773,74
DB01120,DB01014,8
DB00201,DB00834,72
DB01028,DB01080,48
DB00961,DB00321,48
DB00216,DB00254,72
DB01015,DB06700,8
DB08883,DB00215,48
DB01433,DB00310,48
DB01355,DB00344,3
DB09183,DB00679,46
DB00834,DB01044,8
DB01023,DB01214,48
DB00657,DB00727,48
DB03585,DB00687,48
DB09342,DB00653,15
DB00237,DB00502,48
DB09235,DB00727,48
DB00919,DB00244,71
DB09225,DB00555,48
DB09128,DB01252,69
DB00230,DB00819,69
DB01411,DB00976,72
DB01169,DB00734,59
DB01580,DB01611,46
DB00861,DB00827,26
DB01210,DB00795,36
DB00907,DB09072,15
DB04855,DB00932,46
DB00440,DB00398,46
DB06737,DB09095,48
DB01173,DB00371,15
DB00974,DB01240,5
DB00950,DB01142,48
DB00703,DB00808,48
DB01380,DB09070,72
DB00682,DB06736,5
DB00373,DB08907,48
DB01248,DB06771,48
DB00795,DB00827,26
DB06228,DB00775,5
DB00922,DB01018,48
DB01244,DB09292,48
DB00312,DB01319,3
DB01234,DB00705,46
DB00402,DB09074,46
DB00500,DB00180,48
DB00514,DB08918,63
DB00752,DB00606,59
DB00860,DB01044,48
DB00296,DB01118,46
DB01173,DB00967,15
DB00730,DB00268,46
DB09555,DB00582,46
DB01008,DB00976,46
DB00836,DB00203,46
DB06724,DB01260,2
DB00313,DB08883,15
DB09039,DB01072,72
DB01435,DB00827,26
DB01240,DB06268,59
